frame,kart,g28,g2A,g2C,g2E,g30,gE00,gE02,g124,g126,f16,f1A,f22,f24,fAE,f10,f12,f18,f1C,f1F,f26,f28,f2A,f60,fA0,fA2,fA4,fA6,fA8,fAA,fAC,fAE,fB0,fB2,fB4,fC2,fC4,fCA,fD6,fDE,fE0,fE2,fE4,fEA,fFA,fFC,fE8,fEE,fB8
57,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
57,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
58,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
58,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
59,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
59,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
60,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
60,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
61,1000,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,0,952,756,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,912,0,0,0,0,64,0,0,0,0,0,0,0,0,26624
61,1100,0,0,0,0,2,5,5,7,2,0,0,0,0,64,32832,14,920,732,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,880,0,0,0,0,64,0,0,0,0,0,0,0,0,26688
